"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
287,"Untitled (Sun Box), c. 1955
            

            Joseph Cornell",1950,1960,"Box construction with painted glass","NA","N","https://www.artic.edu/artworks/99785/untitled-sun-box","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
288,"Untitled (Yellow Sand Fountain), early 1950s
            

            Joseph Cornell",1950,1955,"Box construction","NA","N","https://www.artic.edu/artworks/99780/untitled-yellow-sand-fountain","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
289,"Yellow Chamber, 1950/51
            

            Joseph Cornell",1950,1951,"Box construction","NA","N","https://www.artic.edu/artworks/99787/yellow-chamber","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
290,"Grand Hotel de la Boule D'Or",1950,1950,"Wood, paint, newsprint, and glass","Sculpture","N","https://dma.org/art/collection/object/5041404","Dallas Museum of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
291,"Space Object Box: “Little Bear, etc.” motif",1950,1960,"Box construction","Sculpture","N","https://www.guggenheim.org/artwork/905","Guggenheim Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
292,"Untitled (Hotel-night Sky)",1950,1952,"Mixed media sculpture box","Sculpture; assemblages","N","https://collections.lacma.org/node/170679","Los Angeles County Museum of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
293,"Celestial observatory",1950,1950,"Bois et peinture","Oeuvre en 3 dimensions","N","https://www.mamac-nice.org/en/the-collection/online-collection/#/artwork/joseph-cornell-celestial-observatory-120000000000043?page=1&filters=query%3AJoseph%20Cornell","MAMAC","França",1,2,"Joseph Cornell","EUA","EUA",,,,
294,"Untitled (Hotel Family, Parmigianino, Bel Antea Variant)",1950,1950,"Wood, glass, photographic prints, paint, and book pages","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/2552-untitled-hotel-family-parmigianino-bel-antea-variant","Menil","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
295,"Untitled (Weather Prophet, Yellow Bird)",1950,1950,"Stain, wood, glass, petrified wood fragment, paint, and tin spirals","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/3689-untitled-weather-prophet-yellow-bird","Menil","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
296,"Central Park Carrousel, in Memoriam",1950,1950,"Wood, mirror, wire netting, and paper","Painting and Sculpture","N","https://www.moma.org/collection/works/80771?classifications=any&date_begin=Pre-1850&date_end=1960&q=Joseph+Cornell&utf8=%E2%9C%93&with_images=1","MoMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
297,"Boulangerie Viennoise (Vienna Bread Bakery)",1950,1950,"paper, paint, wood and glass","Sculpture","N","https://www.momat.go.jp/en/collection/s00411","MOMAT","Japão",1,2,"Joseph Cornell","EUA","EUA",,,,
298,"Sandbox",1950,1955,"Box construction","Sculpture","N","https://philamuseum.org/collection/object/107512","Philadelphia Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
299,"Untitled (Blue Owl Box)",1950,1950,"wooden box with glass containing tree bark, reproduction on paper, sawdust, lightbulb, and electrical apparatus","Sculpture","N","https://www.sfmoma.org/artwork/85.390/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
300,"Untitled (Pink Palace)",1950,1950,"wooden box containing photostat with ink wash, wood, mirror, plant material, and artificial snow","Sculpture","N","https://www.sfmoma.org/artwork/82.328/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
301,"Untitled (Window Facade)",1950,1953,"wooden box with glass containing painted wood, nails, glass, and mirror","Sculpture","N","https://www.sfmoma.org/artwork/82.329/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
302,"Untitled [Blue Sand Tray]",1950,1950,"ooden box with glass containing dyed sand, metal, and paper","Sculpture","N","https://www.sfmoma.org/artwork/85.389/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
303,"Untitled",1950,1950,"mixed media: wood: stained/painted, paper, cork, wire...,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5716","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
304,"Untitled",1950,1950,"mixed media: wood: stained, glass, paper, ink, wire, nails,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5717","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
305,"Planet Set, Tête Etoilée, Giuditta Pasta (dédicace)",1950,1950,"Glass, crystal, wood and paper","NA","N","https://www.tate.org.uk/art/artworks/cornell-planet-set-tete-etoilee-giuditta-pasta-dedicace-t01846","Tate Museum","Inglaterra",1,2,"Joseph Cornell","EUA","EUA",,,,
306,"Penny Arcade Machine",1950,1950,"Box construction: wood, glass, mirror, and printed paper","Sculpture","N","https://www.metmuseum.org/art/collection/search/490178","The Metropolitan Museum of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
307,"Caravaggio Prince Medici Slot Machine Variant",1950,1950,"construction and collage","Sculpture","N","https://www.nga.gov/content/ngaweb/collection/art-object-page.195563.html","The National Gallery of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
308,"Untitled",1950,1950,"box construction, wood, lithograph, collage, glass, marbles, shell, paint, metal [within the drawer, shells, ball bearing, cork, powder]","Sculpture","N","https://searchthecollection.nga.gov.au/object/49614?keyword=Joseph%20Cornell&includeParts&searchIn=artistOrCulture&selectedFilters=%5B%7B%22label%22:%221800-1960%22,%22value%22:%7B%22from%22:1800,%22to%22:1960%7D,%22field%22:%22date%22%7D%5D","The National Gallery of Australia","Austrália",1,2,"Joseph Cornell","EUA","EUA",,,,
309,"Untitled (Primary Title) Shadow box (Object Name)",1950,1950,"painted and papered wood and glass box, with wood, plaster pipe, metal rings, nails, and string","Sculpture-Assemblage","N","https://vmfa.museum/piction/6027262-10030286/","Virginia Museum of Fine Arts","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
310,"untitled (yellow sand tray, sun and planets images)",1950,1950,"wood, glass, sand, steel, paint, paper","NA","N","https://walkerart.org/collections/artworks/untitled-yellow-sand-tray-sun-and-planets-images","Walker Art Center","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
311,"O. T.",1950,1959,"Mischtechnik (Holztisch, Holzsessel mit Korbgeflecht, Metalltasse)","Sculpture","N","https://sammlungenonline.albertina.at/#/query/ced48e97-1c61-4a28-b80f-74ba7f7e6909","Albertina","Austria",1,111,"Padhi Frieberger","Austria","Áustria",,,,
312,"A Rare Old Vintage Picasso (Un Picasso de derrière les fagots)",1950,1950,"Oil paint on glass bottle","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/3683-a-rare-old-vintage-picasso-un-picasso-de-derriere-les-fagots","Menil","EUA",1,41,"René Magritte","Bélgica","Bélgica",,,,
313,"The Curvature of the Universe (La courbure de l'univers)",1950,1950,"Oil on glass bottle","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/2953-the-curvature-of-the-universe-la-courbure-de-l-univers","Menil","EUA",1,41,"René Magritte","Bélgica","Bélgica",,,,
314,"Untitled [formerly The Man with Two Souls]",1950,1950,"Two green glass bottles (one containing a twig, the other the end of an arrow shaft) and glass rod, mounted in plaster block","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-formerly-man-two-souls","Collection Cy Twombly Foundation","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
315,"Greenhouse",1950,1950,"Wire mesh, twigs, wire, paint, glass globe, and glass shards","NA","N","https://www.rauschenbergfoundation.org/art/artwork/greenhouse","Robert Rauschenberg Foundation","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
316,"After Tyler School",1950,1950,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
317,"Projet pour un monument (Project for a Monument)",1951,1951,"Bell, iron, towel hanger, gouache and wax on cement","NA","N","https://successiomiro.com/catalogue/object/719","Fundació Joan Miró","Espanha",1,38,"Joan Miró","Espanha","Espanha",,,,
318,"Untitled (Hotel de l'Etoile) (Primary Title) Shadow box (Object Name)",1951,1951,"mixed media","Sculpture-Assemblage","N","https://vmfa.museum/piction/6027262-10029708/","Virginia Museum of Fine Arts","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
319,"Night",1951,1951,"wood, paint","NA","N","https://walkerart.org/collections/artworks/night","Walker Art Center","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
320,"Sky Cathedral Presence",1951,1964,"wood, paint","NA","N","https://walkerart.org/collections/artworks/sky-cathedral-presence","Walker Art Center","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
321,"Growth and Form",1951,1951,"Reconstruction. Various materials","Installation","S","https://www.macba.cat/en/obra/r5245-growth-and-form/","MACBA","Espanha",1,103,"Richard Hamilton","Inglaterra","Reino Unido",,,,
322,"Apparition (Wire Sculpture #1)",1951,1951,"Steel wire and metal objects-trouve painted","Sculpture","N","https://www.pousette-dartfoundation.org/works/apparition/","NA","NA",1,80,"Richard Pousette-Dart","EUA","EUA",,,,
323,"Arc of the Bird (Wire Sculpture #6)",1951,1951,"Steel wire and found objects, painted orange","Sculpture","N","https://www.pousette-dartfoundation.org/works/arc-of-bird-wire-sculpture-6/","NA","NA",1,80,"Richard Pousette-Dart","EUA","EUA",,,,
324,"Sarabande",1951,1951,"Steel wire and found objects","Sculpture","N","https://www.pousette-dartfoundation.org/works/sarabande/","NA","NA",1,80,"Richard Pousette-Dart","EUA","EUA",,,,
325,"Untitled (Soap Bubble Set), c. 1957
            

            Joseph Cornell",1952,1962,"Box construction","NA","N","https://www.artic.edu/artworks/99769/untitled-soap-bubble-set","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
326,"Dovecote",1952,1952,"Compartmentalized box with objects","Mixed media","N","https://collections.mfa.org/objects/520290/dovecote?ctx=02312b20-2ca8-4faa-8700-58bae8dff966&idx=1","Museum of Fine Arts Boston","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
327,"Untitled (Hotel du Chariot d’Or)",1952,1952,"Tempera and paper on wood and glass","Sculpture","N","https://americanart.si.edu/artwork/untitled-hotel-du-chariot-dor-5745","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
328,"Untitled (Pharmacy)",1952,1953,"Box construction: wood, glass, mirror, shells, sand, printed paper, coral, cork, feather, metal, and liquid","Sculpture","N","https://www.metmuseum.org/art/collection/search/490179","The Metropolitan Museum of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
329,"Untitled (Medici Prince)",1952,1952,"box construction","Sculpture","N","https://www.nga.gov/content/ngaweb/collection/art-object-page.228054.html","The National Gallery of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
330,"Untitled [Yellow Sand Tray with Starfish]",1952,1952,"box construction","Sculpture","N","https://www.nga.gov/content/ngaweb/collection/art-object-page.228059.html","The National Gallery of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
331,"Grand Hotel Bon Port",1952,1952,"Painted wood, paper, photolithographs on paper, glass, colored pencil, and metal hardware","Sculpture","N","https://whitney.org/collection/works/7504","Whitney Museum of American Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
332,"Les vingt jours et nuits de Juliette",1952,1952,"huile sur toile tendue sur châssis","Objet","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/cgzqGo","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
333,"The Gambler",1952,1952,"Green glass jar with molded glass stopper, painted wood figure, dice, plastic poker chips, newspaper, torn pieced of playing cards, string, plastic ladder, metal bells, and a penny","NA","N","https://www.artic.edu/artworks/118715/the-gambler","Art Institute of Chicago","EUA",1,96,"Richard Lindner","Alemanha","EUA",,,,
334,"Untitled (Scatole Personali)",1952,1952,"Lidded stained wood box with dirt, pins, photograph, plastic lens, and mica","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-scatole-personali-1","Antonio Homem and the Sonnabend Collection Foundation","Portugal",1,11,"Robert Rauschenberg","EUA","EUA",,,,
