"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
392,"Hands Upward",1954,1973,"NA","Assemblage","N","https://bocamuseum.org/art-experience/exhibitions/salvatore-meo-and-poetics-assemblage","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
393,"La Tombe de la nature",1955,1955,"Agglomérat de terre brûlée et caisse de bois brûlée","Oeuvre en 3 dimensions","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/cGoyoBX","Centre Pompidou","França",1,13,"Bernard Réquichot","França","França",,,,
394,"Imago",1955,1955,"Mixed media on textured board","NA","N","https://www.georgecohenartist.com/galleries/paintings---constructions/view/7562243/1/7566326","The Norton Museum of Art","EUA",1,48,"George Cohen","EUA","EUA",,,,
395,"Relief méta-mécanique sonore I",1955,1955,"Black wooden panel with 17 variously shaped, white-painted cardboard elements, metal rods and wires, 3 bottles, 3 cans, 3 electric motors","Sculpture","N","https://collection.kunsthaus.ch/en/collection/item/3028/","Kunsthaus Zürich","Suíça",1,15,"Jean Tinguely","Suíça","Suíça",,,,
396,"Méta-Kandinsky II",1955,1955,"Wood panel, polychrome wood, metal, wooden pulleys, round rubber belt, and electric motor","Sculpture","N","https://emuseum.mfah.org/objects/47853/metakandinsky-ii?ctx=873b663776162a1d31cd826a93821b439907bbaa&idx=106","Museum of Fine Arts, Houston","EUA",1,15,"Jean Tinguely","Suíça","Suíça",,,,
397,"The Eagle, the Arrow, and the Dolphin, c. 1960
            

            Joseph Cornell",1955,1965,"Box construction","NA","N","https://www.artic.edu/artworks/99770/the-eagle-the-arrow-and-the-dolphin","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
398,"Chardonneret de Ronsard (bird habitat, amber glass)",1955,1955,"box construction with internal electric light","Sculpture, Assemblage (sculpture)","N","https://buffaloakg.org/artworks/199344-chardonneret-de-ronsard-bird-habitat-amber-glass","Buffalo AKG Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
399,"Untitled (Rattle and Music Box)",1955,1955,"Fiberboard box, postage stamps, printing stamps, wood ball, and toy xylophone","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/16757-untitled-rattle-and-music-box","Menil","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
400,"Untitled (Medici Princess)",1955,1955,"Wood box construction with glass and mixed media","Mixed media","N","https://www.guggenheim-venice.it/en/art/works/untitled-medici-princess/","Peggy Guggenheim Collection","Itália",1,2,"Joseph Cornell","EUA","EUA",,,,
401,"Hotel de Hollande",1955,1955,"Sand, compass, and shell in a glass-fronted wood box with lid","Sculpture","N","https://americanart.si.edu/artwork/hotel-de-hollande-5633","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
402,"L’Humeur Vagabonde (Restless Mood)",1955,1955,"box construction","Sculpture","N","https://www.nga.gov/content/ngaweb/collection/art-object-page.228045.html","The National Gallery of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
403,"Night Landscape",1955,1955,"Wood painted black","NA","N","https://www.moca.org/collection/work/night-landscape","The Museum of Contemporary Art, Los Angeles","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
404,"Girl with Long Hair",1955,1955,"Steel","Sculpture","N","https://emuseum.mfah.org/objects/6634/girl-with-long-hair?ctx=062e7393becd4431b338da1820949ffb571bb056&idx=3","Museum of Fine Arts, Houston","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
405,"Short Circuit",1955,1955,"Oil, fabric, notebook paper, postcard, printed reproductions, concert program, and autograph on canvas, wood supports, and cabinets with paintings by Susan Weil and Elaine Sturtevant","NA","N","https://www.artic.edu/artworks/209926/short-circuit","Art Institute of Chicago","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
406,"Music Box (Elemental Sculpture)",1955,1955,"Wood crate with traces of metallic paint, nails, three pebbles, and two feathers","NA","N","https://www.rauschenbergfoundation.org/art/artwork/music-box-elemental-sculpture","Collection of Jasper Johns","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
407,"Monogram",1955,1959,"Combine: oil, paper, fabric, printed paper, printed reproductions, metal, wood, rubber shoe heel, and tennis ball on canvas with oil and rubber tire on Angora goat on wood platform mounted on four casters","Paintings, Sculptures","N","https://www.rauschenbergfoundation.org/art/artwork/monogram","Moderna Museet","Suécia",1,11,"Robert Rauschenberg","EUA","EUA",,,,
408,"Odalisk",1955,1958,"Combine: oil, watercolor, graphite, crayon, paper, fabric, photographs, printed reproductions, miniature blueprint, newsprint, metal, glass, dried grass, and steel wool with pillow, wood post, electric lights, and rooster on wood structure mounted on four casters","NA","N","https://museum-ludwig.kulturelles-erbe-koeln.de/documents/obj/05020794","Museum Ludwig","Alemanha",1,11,"Robert Rauschenberg","EUA","EUA",,,,
409,"Interview",1955,1955,"Oil, found painting, found drawing, lace, wood, envelope, found letter, fabric, photographs, printed reproductions, toweling, and newspaper on wood structure with brick, string, fork, softball, nail, metal hinges, and wood door","NA","N","https://www.moca.org/collection/work/interview","The Museum of Contemporary Art, Los Angeles","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
410,"America USA",1955,1955,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
411,"Vento",1955,1955,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
412,"ONIROSCOPE",1955,1955,"mixed media on cardboard","technique mixte","N","https://www.sothebys.com/en/buy/auction/2019/now-online/f2de0584-1d4f-4bc9-8894-057f1110c7be","NA","NA",1,51,"Yolande Fièvre","França","França",,,,
413,"Senza Titolo",1956,1958,"oggetti, gomma della ruota di una bicicletta e legno su tavola","assemblage","N","https://www.mart.tn.it/en/works/senza-titolo-86554","MART","Itália",1,112,"Andrea Raccagni","Itália","Itália",,,,
414,"Cachet",1956,1956,"NA","NA","N","https://www.armanstudio.com/artworks/cachets?view=slider#2","NA","NA",1,14,"Arman","França","EUA",,,,
415,"Paris Remake",1956,1956,"máquina de escrever pintada","escultura de vanguarda de mídia mista","S","https://artsandculture.google.com/asset/paris-remake-christo-coetzee/IgEpzehsj1GHzw","University of Pretoria Museums","África do Sul",1,70,"Christo Coetzee","África do Sul","África do Sul",,,,
416,"Lume",1956,1956,"iron, assemblage of reprocessed recovery materials","Assemblage","N","https://www.artnet.com/artists/ettore-colla/lume-K0_Iiwg9S8EsyG3eaGqbaQ2","NA","NA",1,71,"Ettore Colla","Itália","Itália",,,,
417,"Great Mother Womb",1956,1957,"Laminated plywood, glass, and metal","Sculpture","N","https://collections.lacma.org/node/202107","Los Angeles County Museum of Art","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
418,"The Old Eccentric's House",1956,1957,"Birch-veneer plywood, spruce lath, and mirror","Sculpture","N","https://mcachicago.org/collection/items/h-c-westermann/687-the-old-eccentrics-house","Museum of Contemporary Art Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
419,"Ensor's Mother",1956,1956,"Pine, hardwood, and silverpoint and conte crayon drawing on gesso-grounded figwood panel by James Ensor (Belgian, 1860-1949) dated 1887","Sculpture","N","https://smartcollection.uchicago.edu/objects/10328/ensors-mother?ctx=c59459ddd5c274d3f780b5c503a30bcd73c9efa7&idx=1","Smart Museum of Art","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
420,"Untitled",1956,1956,"Plaster, sand, gauze, and wire","Sculpture","N","https://dma.org/art/collection/object/5340434","Dallas Museum of Art","EUA",1,126,"Jackson Pollock","EUA","EUA",,,,
421,"Lady with the Open Door Stomach",1956,1956,"NA","Assemblage","N","https://whitney.org/collection/works/76","Whitney Museum of American Art","EUA",1,49,"Jean Follett","EUA","EUA",,,,
422,"Untitled II",1956,1975,"Glass, wood, and metal display case containing (left to right): May 12, 1971 (12. Mai 1971), 1971: plastic pitcher with spade stone, plastic bowl with paint, pine needles, and rice; Bridges of Understanding (Brücke der Verständigung), 1956: cast bronze; Untitled (Musical Score) (Ohne Titel [Partitur]), c. 1973: pencil and stamp on paper; Felt Suit (Filzanzug), 1970: felt; Community Spade (Gemeinschaftsspaten), 1964: spade blade and wood sticks; Cobble Stone (Pflasterstein), 1975: basalt stone","INSTALLATION","N","https://www.moma.org/collection/works/118970?classifications=20&date_begin=Pre-1850&date_end=1961&include_uncataloged_works=false&on_view=false&recent_acquisitions=false&with_images=true","MoMA","EUA",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
423,"Untitled (Homage to Blériot), 1956
            

            Joseph Cornell",1956,1956,"Box construction","NA","N","https://www.artic.edu/artworks/99774/untitled-homage-to-bleriot","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
424,"Untitled (Ligne Ostende-Douvres)",1956,1956,"box construction","Sculpture, Assemblage (sculpture)","N","https://buffaloakg.org/artworks/199342-untitled-ligne-ostende-douvres","Buffalo AKG Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
425,"Untitled (Celestial Navigation Night Version)",1956,1958,"box construction","Sculpture","N","https://www.nga.gov/content/ngaweb/collection/art-object-page.228052.html","The National Gallery of Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
426,"Il Signe Sole for Oswaldo La Strada (Primary Title) Shadow box (Object Name)",1956,1957,"mixed media","Sculpture-Assemblage","N","https://vmfa.museum/piction/6027262-10028498/","Virginia Museum of Fine Arts","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
427,"First Personage",1956,1956,"Painted wood","NA","N","https://www.brooklynmuseum.org/opencollection/objects/72839","Brooklyn Museum","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
428,"Sky Totem",1956,1956,"Painted wood","Sculpture","N","https://americanart.si.edu/artwork/sky-totem-18295","Smithsonian American Art Museum","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
429,"Upp",1956,1956,"iron, metal, moving parts, rubber band","NA","N","https://www.artnet.com/artists/per-olof-ultvedt/upp-8YHLZS8UwzSSLE0se6ZskA2","NA","NA",1,61,"Per Olof Ultvedt","Finlândia","Suécia",,,,
430,"Untitled",1956,1967,"Steel, tar and found objects","Sculpture; assemblages","N","https://collections.lacma.org/node/171821","Los Angeles County Museum of Art","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
431,"Urchin in the Grass",1956,1956,"Iron and steel","Painting and Sculpture","N","https://www.moma.org/collection/works/81879?artist_id=5601&page=1&sov_referrer=artist","MoMA","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
432,"Kabuki Dancer",1956,1956,"Iron and steel","Sculpture","N","https://whitney.org/collection/works/520","Whitney Museum of American Art","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
433,"Bottle Boogie",1956,1956,"bois, verre, miroir, altuglas","Assemblage","N","https://mamc.saint-etienne.fr/fr/agenda/portrait-croise-louise-nevelson-et-sari-dienes","Centre national des arts plastiques","França",1,72,"Sari Dienes","Hungria","EUA",,,,
434,"Bottle Garden",1956,1956,"mirror, glass and adhesive","NA","N","https://saridienes.org/work/52.html","NA","NA",1,72,"Sari Dienes","Hungria","EUA",,,,
435,"Untitled",1956,1956,"charred wood and cork","NA","N","https://saridienes.org/work/51.html","NA","NA",1,72,"Sari Dienes","Hungria","EUA",,,,
436,"I Spy",1956,1956,"glass, mirror, wood, adhesive","NA","N","https://saridienes.org/work/51b.html","The Corning Museum of Glass","EUA",1,72,"Sari Dienes","Hungria","EUA",,,,
437,"Rearrangeable Panels",1957,1959,"Bois, miroir, peinture, feuilles de chêne, aluminium, textile, bitume, lampes électriques","Oeuvre en 3 dimensions, Assemblage","N","https://www.centrepompidou.fr/en/ressources/oeuvre/1lYeF6b","Centre Pompidou","França",1,12,"Allan Kaprow","EUA","EUA",,,,
438,"Reliquaire",1957,1957,"Agglomérats de peinture sur bois, crâne de boeuf, plume et divers éléments enchâssés dans une vitrine comportant un miroir dans les parties inférieure et supérieure","Oeuvre en 3 dimensions","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/Xv25yj7","Centre Pompidou","França",1,13,"Bernard Réquichot","França","França",,,,
439,"Uncommitted Little Chicago Child",1957,1957,"Oak, maple, metal clock face, and paper découpage","NA","N","https://www.artic.edu/artworks/270966/uncommitted-little-chicago-child","Art Institute of Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
440,"He Whore",1957,1957,"Plywood, vermillion, oak, maple, walnut, fir, birch, mirror, paint, chromium-plated brass, cork, rope, and U.S. dimes","Sculpture","N","https://mcachicago.org/collection/items/h-c-westermann/1838-he-whore","Museum of Contemporary Art Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
441,"Untitled (Hôtel de la Duchesse-Anne), 1957
            

            Joseph Cornell",1957,1957,"Box construction","NA","N","https://www.artic.edu/artworks/99789/untitled-hotel-de-la-duchesse-anne","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
442,"Untitled (sun face)",1957,1957,"wooden box construction with white background, sun face, wine glass, shell, ball, and brass-colored rings","Sculpture, Assemblage (sculpture)","N","https://buffaloakg.org/artworks/199341-untitled-sun-face","Buffalo AKG Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
443,"“Ideals are like stars; you will not succeed in touching them with your hands. But like the seafaring man on the desert of waters, you choose them as your guides, and following them you will reach your destiny.” – Carl Schurz, Address, Faneuil Hall, Boston, April 18, 1859. From the series Great Ideas of Western Man.",1957,1958,"Mixed media: painted and stained wood, glass, shells, driftwood, and paper, assembled, glued, and nailed","Sculpture","N","https://americanart.si.edu/artwork/ideals-are-stars-you-will-not-succeed-touching-them-5635","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
444,"Tropical garden II (Jardin tropical II)",1957,1957,"Bois peint découpé","Sculpture","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/cajbXjL","Centre Pompidou","França",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
445,"Nightscape",1957,1964,"Painted wood and formica assemblage","Sculpture","N","https://www.nationalgalleries.org/art-and-artists/337","National Galleries of Scotland","Escócia",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
446,"Moon Fountain",1957,1957,"Wood painted black","NA","N","https://www.moca.org/collection/work/moon-fountain","The Museum of Contemporary Art, Los Angeles","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
447,"Untitled",1957,1957,"Welded steel, cottonwood, and fir","Sculpture","N","https://emuseum.mfah.org/objects/145510/untitled?ctx=873b663776162a1d31cd826a93821b439907bbaa&idx=112","Museum of Fine Arts, Houston","EUA",1,106,"Richard Hunt","EUA","EUA",,,,
448,"City Bird",1957,1957,"Iron and steel","Painting and Sculpture","N","https://www.moma.org/collection/works/80827?artist_id=5601&page=1&sov_referrer=artist","MoMA","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
449,"Instruction",1957,1957,"Scrap iron and steel","Painting and Sculpture","N","https://www.moma.org/collection/works/80833?artist_id=5601&page=1&sov_referrer=artist","MoMA","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
450,"Bird Lover in the Grass",1957,1957,"	Steel","Sculpture","N","https://philamuseum.org/collection/object/71181","Philadelphia Art Museum","EUA",1,56,"Richard Stankiewicz","EUA","EUA",,,,
451,"The Tower",1957,1957,"Combine: oil, paper, fabric, and wood with broom, umbrella, spherical objects, tin cans, and electric lights on wood structure","NA","N","https://www.rauschenbergfoundation.org/art/artwork/tower","Crystal Bridges Museum of American Art","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
452,"Blaster",1957,1973,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
453,"Untitled (La Lustre)",1958,1958,"NA","NA","N","https://www.armanstudio.com/artworks/furniture","NA","NA",1,14,"Arman","França","EUA",,,,
454,"Le magasin de Ben",1958,1973,"Matériaux divers","Oeuvre en 3 dimensions | Installation","N","https://www.centrepompidou.fr/en/ressources/oeuvre/cKxLbEz","Centre Pompidou","França",1,16,"Ben (Benjamin Vautier)","Itália","França",,,,
455,"Untitled",1958,1958,"Mixed media assemblage on Masonite","NA","N","https://www.mayorgallery.com/artists/125-bruce-conner/works/1314-bruce-conner-untitled-october-6-1958-1958/","NA","NA",1,52,"Bruce Conner","EUA","EUA",,,,
456,"RATBASTARD",1958,1958,"wood, canvas, nylon, newspaper, photographic reproduction, wire, oil paint, nails, bead chain, etc.","NA","N","https://walkerart.org/collections/artworks/ratbastard","Walker Art Center","EUA",1,52,"Bruce Conner","EUA","EUA",,,,
457,"RATBASTARD 2",1958,1958,"wood, nylon, twine, candle, glass marbles, paint, nutshells, photographic reproduction, metal charm, string, feather, sequins","NA","N","https://walkerart.org/collections/artworks/ratbastard-2","Walker Art Center","EUA",1,52,"Bruce Conner","EUA","EUA",,,,
458,"Dow Road",1958,1958,"box of weathered wood, with torn printed page and wallpaper, lace, glass bottle, etc.","NA","N","https://en.wikipedia.org/wiki/Edith_Schloss#/media/File:EdithSchlossDowRoad1958.jpg","NA","NA",1,50,"Edith Schloss","Alemanha","Itália",,,,
459,"Untitled (Shrine)",1958,1958,"Mixed media, sculpture","Mixed media, sculpture","N","https://www.louissternfinearts.com/artists/george-herms#tab:slideshow","Louis Stern Fine Arts","EUA",1,53,"George Herms","EUA","VIVO",,,,
460,"The Mysteriously Abandoned New Home",1958,1958,"Pine, birch, vermillion, redwood, glass, paint, and wheels","NA","N","https://www.artic.edu/artworks/15566/the-mysteriously-abandoned-new-home","Art Institute of Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
461,"Mad House",1958,1958,"Pine, plywood, glass, brass, galvanized sheet metal, enamel, cast-tin toy, lead soldier, paper decoupage, mirror, and United States penny","Sculpture","N","https://mcachicago.org/collection/items/h-c-westermann/323-mad-house","Museum of Contemporary Art Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
462,"Memorial to the Idea of Man If He Was an Idea",1958,1958,"Pine, bottle caps, cast-tin toys, glass, metal, brass, ebony, and enamel","Sculpture","N","https://mcachicago.org/collection/items/h-c-westermann/1837-memorial-to-the-idea-of-man-if-he-was-an-idea","Museum of Contemporary Art Chicago","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
463,"Burning House",1958,1958,"Pine, cast brass bell, tin, glass, rope, and enamel","Sculpture","N","https://smartcollection.uchicago.edu/objects/17609/burning-house?ctx=c59459ddd5c274d3f780b5c503a30bcd73c9efa7&idx=0","Smart Museum of Art","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
464,"The Evil New War God (S.O.B)",1958,1958,"Plated brass, partly chrome-plated","Sculpture","N","https://whitney.org/collection/works/7565","Whitney Museum of American Art","EUA",1,44,"Horace Clifford Westermann","EUA","EUA",,,,
465,"Flashlight III",1958,1958,"Bronze, glass, and aluminum paint","Painting and Sculpture","N","https://www.moma.org/collection/works/82034","MoMA","EUA",1,1,"Jasper Johns","EUA","VIVO",,,,
466,"La dinde de Noël de François Mauriac",1958,1959,"Object-box: taxidermized turkey legs, lace, rosary, ribbons","NA","N","https://www.artnet.com/artists/jean-benoit/la-dinde-de-no%C3%ABl-de-fran%C3%A7ois-mauriac-ULGZIAs_ubyrO5P4jGZRFw2","NA","NA",1,35,"Jean Benoit ","Canada","França",,,,
467,"Many-Headed Creature",1958,1958,"Light switch and socket, cooling coils, window screen, nails, faucet knobs, mirror, twine, cinders, castor, springs, wood, wire chain, and rope on wood panel","Painting and Sculpture","N","https://www.moma.org/collection/works/81315?artist_id=1926&page=1&sov_referrer=artist","MoMA","EUA",1,49,"Jean Follett","EUA","EUA",,,,
468,"Méta-matic No. 9",1958,1958,"Round rubber belt, steel rods, painted sheet metal, wire wooden pulleys, two clothes pins, and electric motor","NA","N","https://emuseum.mfah.org/objects/47854/metamatic-no-9?ctx=44c3825d608ef22a920c4827fb690c9d775401c7&idx=9","Museum of Fine Arts, Houston","EUA",1,15,"Jean Tinguely","Suíça","Suíça",,,,
469,"Package",1958,1958,"Fabric, lacquer, and rope","NA","N","https://christojeanneclaude.net/artworks/packages-and-wrapped-objects/","Christo and Jeanne-Claude Foundation","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
470,"Shelves",1958,1958,"Fabric, rope, lacquer, paint, sand, nine cans, wooden shelf, glass, and steel wire mesh","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Christo and Jeanne-Claude Foundation","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
471,"Wrapped Cans",1958,1958,"Fabric, rope, lacquer, paint, sand, and three cans","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Christo and Jeanne-Claude Foundation","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
472,"Wrapped Can",1958,1958,"Fabric, rope, enamel paint, and two cans","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Collection Dominik and Madeleine Keller","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
473,"Wrapped Bottle",1958,1958,"Fabric, rope, lacquer, paint, sand, and bottle","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Collection Kimiko Powers","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
474,"Wrapped Cans and a Bottle",1958,1958,"Fabric, lacquer, paint, rope, three cans, glass bottle, plastic cap, and red pigment","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Collection Laurie Mallet","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
475,"Wrapped Can",1958,1958,"Fabric, rope, lacquer, paint, sand, and two cans","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Collection Mr. and Mrs. Dieter Rosenkranz","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
476,"Wrapped Cans",1958,1958,"Fabric, rope, lacquer, paint, sand, and five cans","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","NA","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
477,"Wrapped Oil Barrels",1958,1959,"Fabric, enamel paint, steel wire, and eighteen barrels","NA","N","https://christojeanneclaude.net/artworks/barrels/","Private collection","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
478,"Wrapped Oil Barrels",1958,1958,"Lacquer paint, fabric, steel wire, and five barrels","NA","N","https://christojeanneclaude.net/artworks/barrels/","Private collection","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
479,"Wrapped Oil Barrel",1958,1958,"Fabric, steel wire, lacquer, paint, sand, and three barrels","NA","N","https://christojeanneclaude.net/artworks/barrels/","Wilhelm Lehmbruck Museum","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
480,"Wrapped Cans and a Bottle",1958,1959,"Fabric, rope, lacquer, paint, sand, ten cans, and a bottle","NA","N","https://christojeanneclaude.net/artworks/wrapped-cans-and-bottles/","Würth Collection","NA",2,67,"Jeanne-Claude","Marrocos","EUA",59,"Christo","Bulgária","EUA"
481,"Fig.",1958,1958,"Welded steel","Sculpture","N","https://emuseum.mfah.org/objects/78098/fig?ctx=32dda32a316013d19f1b98d26573b9ea5a0680d3&idx=120","Museum of Fine Arts, Houston","EUA",1,78,"Jim Love","EUA","EUA",,,,
482,"Shem",1958,1958,"Hessian-covered door, with books, scrap metals, various paints, plaster, and cement","Painting and Sculpture","N","https://www.moma.org/collection/works/81322?artist_id=3404&page=1&sov_referrer=artist","MoMA","EUA",1,60,"John Latham","Inglaterra","Reino Unido",,,,
483,"Untitled",1958,1958,"oil, found books, plaster, wire and pipe on burlap on wood construction","NA","N","https://www.sothebys.com/en/auctions/ecatalogue/2017/latham-lg1703/lot.5002.html","NA","NA",1,60,"John Latham","Inglaterra","Reino Unido",,,,
484,"Burial of Count Orgaz",1958,1958,"NA","objects","N","https://www.tate.org.uk/art/artworks/latham-burial-of-count-orgaz-t02069","Tate Museum","Inglaterra",1,60,"John Latham","Inglaterra","Reino Unido",,,,
485,"Vitrine",1958,1972,"Holz Glas Eisen Filz Fingernagel Zehennagel Weißbrot Blutwurst Metall Mohnkapseln Fett Faden Stroh Knochen Bronze Hefe Zucker Sulfat Gips Wachs Vitrine (aus bemaltem Holz und Glas)","Objekt","N","https://www.staatsgalerie.de/de/sammlung-digital/vitrine?filter%5Bmedium%5D%5B0%5D=Objekt&start=12&context=collection&position=13","Staatsgalerie Stuttgart","Alemanha",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
486,"Monument to the Stag",1958,1985,"Wood, iron and copper","Sculpture","N","https://www.tate.org.uk/art/artworks/beuys-monument-to-the-stag-ar00602","Tate Museum","Inglaterra",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
487,"Table with Accumulator",1958,1985,"	Wood, accumulator, clay and wire","Sculpture","N","https://www.tate.org.uk/art/artworks/beuys-table-with-accumulator-ar00603","Tate Museum","Inglaterra",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
488,"Soap Bubble Set (Ostend Hotel)",1958,1958,"mixed media","Sculpture, Assemblage (sculpture)","N","https://buffaloakg.org/artworks/19713-soap-bubble-set-ostend-hotel","Buffalo AKG Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
489,"Untitled (Sun Box)",1958,1958,"wood and glass box construction with wood, metal, glass, paint and printed paper collage","NA","N","https://www.michaelrosenfeldart.com/artists/joseph-cornell-1903-1972","Michael Rosenfeld Gallery","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
490,"Magical Space-Object Box",1958,1958,"Pine with mixed media","Sculpture","N","https://collections.mfa.org/objects/33993/magical-spaceobject-box?ctx=3e8c4cb2-3197-4848-a2b2-0c0bf67ec39b&idx=276","Museum of Fine Arts Boston","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
491,"Untitled (Constellation)",1958,1958,"Box construction: wood, metal, cut paper, glass and found objects","Sculpture","N","https://philamuseum.org/collection/object/293790","Philadelphia Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
492,"Untitled (Juan Gris Series)",1958,1958,"Mixed media: wood: stained/painted, glass, paper...","Sculpture","N","https://americanart.si.edu/artwork/untitled-juan-gris-series-5747","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
493,"Celestial Navigation",1958,1958,"Assemblage of painted wood and printed papers, aperitif glasses, marbles, plaster head, painted cork ball, metal rods, brad nails and painted glass","Sculpture","N","https://whitney.org/collection/works/8021","Whitney Museum of American Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
494,"Sky Cathedral",1958,1958,"wood, painted black","Sculpture; Assemblage (sculpture)","N","https://buffaloakg.org/artworks/19701-sky-cathedral","Buffalo AKG Art Museum","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
495,"Sky Cathedral",1958,1958,"Painted wood","Painting and Sculpture","N","https://www.moma.org/collection/works/81006?artist_id=4278&page=1&sov_referrer=artist","MoMA","EUA",1,4,"Louise Nevelson","Ucrânia","EUA",,,,
