id_mostra,nome_mostra,id_instituicao,instituicao,cidade,pais,intervalo,ano_inicio
130,Roy and Marie Neuberger Collection  - Modern American Painting and Sculpture,79,Whitney Museum of American Art,Nova York,EUA,1954,1954
131,Tendances actuelles de l’École de Paris III ,44,Kunsthalle Bern,Berna,Suíça,1955,1955
132,"Moderne Kunst aus USA  - Auswahl aus den Sammlungen des Museums of Modern Art, New York",47,Kunsthaus Zürich,Zurique,Suíça,1955,1955
133,First Exhibition ,49,Leo Castelli,Nova York,EUA,1957,1957
134,"8 Americans  - Albers, de Kooning, Gorky, Guston, Kline, Motherwell, Pollock, Rothko",64,Sidney Janis Gallery,Nova York,EUA,1957,1957
135,Some Pictures from the E.J. Power Collection ,37,ICA - Institute of Contemporary Arts,Londres,Reino Unido,1958,1958
136,Die neue amerikanische Malerei ,43,Kunsthalle Basel,Basel,Suíça,1958,1958
137,"Pioneers 1910-1950  - Delaunay, Domela, Dubuffet, Giacometti, Kandinsky, Leger, Miro,Picabia, Pollock, Schwitters",49,Leo Castelli,Nova York,EUA,1958,1958
138,Jong Amerika schildert ,71,Stedelijk Museum Amsterdam,Amsterdam,Holanda,1958,1958
139,Sculpture by Painters ,15,Galerie Chalette,Nova York,EUA,1958,1958
140,Jackson Pollock et la nouvelle peinture Américaine ,5,Centre Pompidou - Musée National d'Art Moderne,Paris,França,1959,1959
141,The New American Painting as shown in 8 European Countries 1958-1959,57,Museum of Modern Art – MoMA,Nova York,EUA,1959,1959
142,American National Exhibition ,65,Sokolniki Park,Moscou,Rússia,1959,1959
143,"9 American painters  - Albers, Baziotes, Gorky, Guston, Kline, deKooning, Motherwell, Pollock, Rothko",64,Sidney Janis Gallery,Nova York,EUA,1960,1960
144,15 of NY ,10,Dwan Gallery, Los Angeles,EUA,1960,1960
145,La métromanie ou Les dessous de la capitale  - Jean Paulhan - Calligraphié et orné de dessins par Jean Dubuffet,21,Galerie Nina Dausset,Paris,França,1950,1950
146,Contemporary Art  - Painting and Sculpture,61,Pierre Matisse Gallery,Nova York,EUA,1950,1950
147,Selections,61,Pierre Matisse Gallery,Nova York,EUA,1950,1950
148,Spring Exhibition ,61,Pierre Matisse Gallery,Nova York,EUA,1951,1951
149,Still Life and the School of Paris ,61,Pierre Matisse Gallery,Nova York,EUA,1952,1952
150,Summer Exhibition ,61,Pierre Matisse Gallery,Nova York,EUA,1953,1953
151,Selections,61,Pierre Matisse Gallery,Nova York,EUA,1953,1953
152,Balthus - Dubuffet - Giacometti - Lam - MacIver - Manessier - Miró - Riopelle - Tamayo - Tanguy ,61,Pierre Matisse Gallery,Nova York,EUA,1954,1954
153,Balthus - Brauner - Dubuffet - Giacometti - Martin - Miró - Riopelle - Roszak - Tanguy ,61,Pierre Matisse Gallery,Nova York,EUA,1954,1954
154,Balthus - Dubuffet - Giscometti - Jean Matisse - MacIver - Martin - Masson - Miró - Riopelle - Roszak - Tanguy ,61,Pierre Matisse Gallery,Nova York,EUA,1954,1954
155,Collages and Objects ,37,ICA - Institute of Contemporary Arts,Londres,Reino Unido,1954,1954
156,Spring Exhibition of Painting and Sculpture ,61,Pierre Matisse Gallery,Nova York,EUA,1955,1955
157,The New Decade  - 22 European Painters and Sculptors,57,Museum of Modern Art – MoMA,Nova York,EUA,1955,1955
158,First Showing of Recent Works ,61,Pierre Matisse Gallery,Nova York,EUA,1955,1955
159,Junge Graphik aus Paris,41,Kestner-Gesellschaft,Hannover ,Alemanha,1955,1955
160,Butler - Dubuffet - Giacometti - Riopelle  - Recent Works,61,Pierre Matisse Gallery,Nova York,EUA,1957,1957
161,Four Paris Painters ,63,Samuel M. Kootz Gallery,Nova York,EUA,1958,1958
162,Butler - Dubuffet - Giacometti - Le Corbusier - MacIver - Marini - Matisse - Miró - Riopelle - Roszak - Tanguy ,61,Pierre Matisse Gallery,Nova York,EUA,1958,1958
163,Balthus - Butler - Dubuffet - Giscometti - MacIver - Miró - Riopelle - Roszak ,61,Pierre Matisse Gallery,Nova York,EUA,1959,1959
164,New York and Paris  - Paintings in the 50's,56,Museum of Fine Arts Houston – MFAH,Houston ,EUA,1959,1959
165,Mednarodna Graficna Razstava  - III. Exposition Internationale de Gravure,50,Ljubljanski grafični bienale III,Ljubljana,Eslovênia,1959,1959
166,Konkrete Kunst  - 50 Jahre Entwicklung,36,Helmhaus,Zurique,Suíça,1960,1960
167,An Exhibition Commemorating the 30th Anniversary of the Société Anonyme: Museum of Modern Art 1920 ,80,Yale University Art Gallery,New Haven,EUA,1950,1950
168,Archipenko - Boccioni - Chagall - De Chirico - Kandinski - Klee - Picasso - Severini ,38,Il Fiore - Galleria d’Arte Moderna,Florença,Itália,1950,1950
169,12 | Der antike Mythos in der neuen Kunst ,41,Kestner-Gesellschaft,Hannover ,Alemanha,1950,1950
170,Arp - Beaudin - Estève - Lapicque - Léger - Magnelli - Miró - Picasso - Taeuber-Arp ,17,Galerie Denise René,Paris,França,1951,1951
171, Bienal de São Paulo  - França – Pintura,3,Bienal de São Paulo,São Paulo,Brasil,1951,1951
172,"Danza, Circo, Music-Hall ",30,Galleria dell'Obelisco,Roma,Itália,1951,1951
173,Mensch und Form unserer Zeit ,46,Kunsthalle Recklinghausen,Recklinghausen,Alemanha,1952,1952
174,Sculpture of the Twentieth Century ,60,Philadelphia Museum of Art,Filadelfia,EUA,1952,1952
175,Le Cubisme (1907–1914) ,5,Centre Pompidou - Musée National d'Art Moderne,Paris,França,1953,1953
176,Aspects of Significant Form in Painting and Sculpture ,61,Pierre Matisse Gallery,Nova York,EUA,1954,1954
177,"Meisterwerke aus dem Museu de Arte in São Paulo  - 125 Jahre Kunstverein für die Rheinlande und Westfalen, 1829–1954",48,Kunstverein für die Rheinlande und Westfalen,Düsseldorf  ,Alemanha,1954,1954
178,Bild und Schrift  - Illustrierte Bücher und Plakate von Lautrec bis Picasso,45,Kunsthalle Bremen,Bremen ,Alemanha,1954,1954
179,10 anni dell’Obelisco ,30,Galleria dell'Obelisco,Roma,Itália,1955,1955
180,Miro - Leger - Lurcat - Calder - Picasso - Cocteau ,15,Galerie Chalette,Nova York,EUA,1956,1956
181,Düsseldorfer Kaufleute sammeln moderne Kunst - Ausländische Künstler  - Ausstellung zum 125 jährigen Bestehen der Industrie- und Handelskammer zu Düsseldorf (1/3),48,Kunstverein für die Rheinlande und Westfalen,Düsseldorf  ,Alemanha,1956,1956
182,Große Kunstausstellung München 1956 - GKM (1/4)  - École de Paris (Galerie Charpentier),35,Grosse Kunstausstellung München,Munique,Alemanha,1956,1956
183,Ausgewählte Werke aus dem Musée d'art moderne Paris ,69,Städel Museum,Frankfurt,Alemanha,1956,1956
184,Verkannte Kunst ,46,Kunsthalle Recklinghausen,Recklinghausen,Alemanha,1957,1957
185,"Modern French tapestries by Braque, Leger, Matisse, Miro, Picasso, Rouault ",64,Sidney Janis Gallery,Nova York,EUA,1958,1958
186,Sammlung Emil G. Bührle ,47,Kunsthaus Zürich,Zurique,Suíça,1958,1958
187,Braque - Matisse - Picasso  - Opera grafica - 274a mostra del Naviglio,28,Galleria del Naviglio - Cardazzo Contemporary Art,Milão,Itália,1958,1958
188,Ten European Artists,57,Museum of Modern Art – MoMA,Nova York,EUA,1958-1959,1958
189,French Master Drawings  - Renaissance to Modern - A Loan Exhbition,6,Charles E. Slatkin Galleries,Nova York,EUA,1959,1959
190,Braque - Laurens - Leger - Masson - Matisse - Miró - Picasso ,14,Galerie Blanche,Estocolmo,Suécia,1959,1959
191,"Twenty Contemporary Painters from the Philippe Dotremont Collection, Brussels ",66,Solomon R. Guggenheim Museum,Nova York,EUA,1959,1959
192,Les Fauves ,13,Galerie Beyeler,Basel,Suíça,1959,1959
193,Sala Gaspar stellt 11 spanische Maler vor,19,Galerie Hanna Bekker vom Rath,Frankfurt,Alemanha,1959,1959
194,"Sammlung Günther Franke  - Gemälde, Zeichnungen, Druckgraphik",70,Städtische Galerie im Lenbachhaus,Munique,Alemanha,1960,1960
